organ, anatomical structure, cell_type, x, y, z
VH_M_Skin,VH_M_skin,T-helper,-0.134424,-0.407762,-0.0881234
VH_M_Skin,VH_M_skin,T-helper,0.0429383,0.808813,0.0965766
VH_M_Skin,VH_M_skin,T-helper,-0.149393,0.211258,0.0652894
VH_M_Skin,VH_M_skin,T-helper,0.23188,-0.791758,-0.0644317
VH_M_Skin,VH_M_skin,T-helper,-0.253735,0.320305,-0.0702296
VH_M_Skin,VH_M_skin,T-helper,0.512322,0.0783163,0.0474067
VH_M_Skin,VH_M_skin,T-helper,0.181998,-0.54637,0.000529217
VH_M_Skin,VH_M_skin,T-helper,0.201024,-0.425116,0.0174601
VH_M_Skin,VH_M_skin,T-helper,-0.411244,-0.0106756,0.0216316
VH_M_Skin,VH_M_skin,T-helper,0.0594352,0.696678,0.00407138
VH_M_Skin,VH_M_skin,T-helper,-0.164762,0.373302,0.0657093
VH_M_Skin,VH_M_skin,T-helper,0.134946,-0.325149,0.0797698
VH_M_Skin,VH_M_skin,T-helper,0.16763,-0.702335,-0.132734
VH_M_Skin,VH_M_skin,T-helper,-0.147394,-0.103017,0.110361
VH_M_Skin,VH_M_skin,T-helper,-0.160502,0.330642,-0.0580186
VH_M_Skin,VH_M_skin,T-helper,0.216532,0.537332,0.0411296
VH_M_Skin,VH_M_skin,T-helper,-0.207073,-0.197308,-0.054417
VH_M_Skin,VH_M_skin,T-helper,0.160197,0.257438,0.0401674
VH_M_Skin,VH_M_skin,T-helper,-0.348692,0.166949,0.0150541
VH_M_Skin,VH_M_skin,T-helper,0.121503,0.29568,0.10905
VH_M_Skin,VH_M_skin,T-helper,-0.181898,-0.0793783,-0.0879714
VH_M_Skin,VH_M_skin,T-helper,-0.222976,-0.50655,-0.0439977
VH_M_Skin,VH_M_skin,T-helper,-0.267685,-0.890445,0.0332886
VH_M_Skin,VH_M_skin,T-helper,-0.0925242,-0.509897,-0.0480795
VH_M_Skin,VH_M_skin,T-helper,0.0163077,-0.0772083,0.0251293
VH_M_Skin,VH_M_skin,T-helper,0.437493,-0.0171562,0.0274804
VH_M_Skin,VH_M_skin,T-helper,0.129656,0.142884,0.0965845
VH_M_Skin,VH_M_skin,T-helper,0.00701536,-0.066299,0.0285804
VH_M_Skin,VH_M_skin,T-helper,-0.172311,-0.66277,-0.138153
VH_M_Skin,VH_M_skin,T-helper,-0.208213,-0.303906,-0.0246761
VH_M_Skin,VH_M_skin,T-helper,-0.0722434,0.743805,0.0388374
VH_M_Skin,VH_M_skin,T-helper,0.228598,0.415688,0.045881
VH_M_Skin,VH_M_skin,T-helper,-0.0158202,0.602118,0.0630814
VH_M_Skin,VH_M_skin,T-helper,0.0430521,0.27793,0.147058
VH_M_Skin,VH_M_skin,T-helper,0.188203,0.0484175,0.0125672
VH_M_Skin,VH_M_skin,T-helper,0.165866,-0.874606,-0.103878
VH_M_Skin,VH_M_skin,T-helper,0.131351,0.102154,-0.0897818
VH_M_Skin,VH_M_skin,T-helper,-0.0821746,0.795064,-0.0136087
VH_M_Skin,VH_M_skin,T-helper,-0.0551466,0.495966,0.115719
VH_M_Skin,VH_M_skin,T-helper,-0.201006,-0.383008,0.0138566
VH_M_Skin,VH_M_skin,T-helper,-0.0466143,0.292407,-0.117004
VH_M_Skin,VH_M_skin,T-helper,-0.126306,0.338735,-0.114841
VH_M_Skin,VH_M_skin,T-helper,0.103134,0.157202,0.118694
VH_M_Skin,VH_M_skin,T-helper,0.230172,0.493988,-0.0670692
VH_M_Skin,VH_M_skin,T-helper,-0.0359006,0.268129,0.148561
VH_M_Skin,VH_M_skin,T-helper,-0.170055,0.410078,-0.0614983
VH_M_Skin,VH_M_skin,T-helper,-0.118995,0.0819675,0.108043
VH_M_Skin,VH_M_skin,T-helper,0.0834963,0.445996,0.136266
VH_M_Skin,VH_M_skin,T-helper,-0.171177,-0.803699,-0.140431
VH_M_Skin,VH_M_skin,T-helper,0.158491,-0.642585,-0.139375
VH_M_Skin,VH_M_skin,T-helper,0.189605,-0.652978,-0.0268354
VH_M_Skin,VH_M_skin,T-helper,-0.18151,-0.0112577,-0.0639843
VH_M_Skin,VH_M_skin,T-helper,-0.00383362,0.364385,0.144081
VH_M_Skin,VH_M_skin,T-helper,-0.448715,0.100051,0.0288626
VH_M_Skin,VH_M_skin,T-helper,0.140985,0.0963566,-0.0793048
VH_M_Skin,VH_M_skin,T-helper,-0.229255,-0.797313,-0.059117
VH_M_Skin,VH_M_skin,T-helper,0.175583,0.426991,-0.00757923
VH_M_Skin,VH_M_skin,T-helper,0.152601,-0.678881,-0.130682
VH_M_Skin,VH_M_skin,T-helper,0.123643,-0.612047,-0.0507124
VH_M_Skin,VH_M_skin,T-helper,0.16802,0.383775,-0.0658992
VH_M_Skin,VH_M_skin,T-helper,-0.222916,-0.219977,0.0107277
VH_M_Skin,VH_M_skin,T-helper,-0.0629469,0.878659,0.0232414
VH_M_Skin,VH_M_skin,T-helper,0.20085,-0.302015,0.0601852
VH_M_Skin,VH_M_skin,T-helper,0.157682,0.154504,-0.0162901
VH_M_Skin,VH_M_skin,T-helper,0.449347,0.0358669,0.0215752
VH_M_Skin,VH_M_skin,T-helper,0.180092,0.476439,0.0425743
VH_M_Skin,VH_M_skin,T-helper,0.449639,-0.0228053,0.0224444
VH_M_Skin,VH_M_skin,T-helper,0.0928335,-0.548838,-0.106205
VH_M_Skin,VH_M_skin,T-helper,-0.175767,0.392276,-0.00162543
VH_M_Skin,VH_M_skin,T-helper,0.139568,0.318,0.0881126
VH_M_Skin,VH_M_skin,T-helper,-0.0428156,-0.114451,0.0686081
VH_M_Skin,VH_M_skin,T-helper,-0.0529146,0.800205,0.0882753
VH_M_Skin,VH_M_skin,T-helper,0.175993,-0.472475,0.0234341
VH_M_Skin,VH_M_skin,T-helper,-0.171518,0.342232,0.0374278
VH_M_Skin,VH_M_skin,T-helper,-0.172282,0.0177322,-0.068335
VH_M_Skin,VH_M_skin,T-helper,-0.15864,0.0848304,0.0818913
VH_M_Skin,VH_M_skin,T-helper,-0.263241,0.257518,0.00802919
VH_M_Skin,VH_M_skin,T-helper,0.172984,-0.230134,0.0931688
VH_M_Skin,VH_M_skin,T-helper,-0.0876984,-0.535747,-0.0822869
VH_M_Skin,VH_M_skin,T-helper,-0.485927,0.0381107,0.0137966
VH_M_Skin,VH_M_skin,T-helper,-0.0899811,-0.456138,-0.0316528
VH_M_Skin,VH_M_skin,T-helper,0.242057,-0.905871,-0.0273918
VH_M_Skin,VH_M_skin,T-helper,0.351116,0.261173,-0.00365612
VH_M_Skin,VH_M_skin,T-helper,-0.138939,0.0709424,-0.0945372
VH_M_Skin,VH_M_skin,T-helper,-0.136679,0.265834,-0.0700949
VH_M_Skin,VH_M_skin,T-helper,-0.151105,0.143248,-0.0366359
VH_M_Skin,VH_M_skin,T-helper,-0.238063,-0.873247,-0.122421
VH_M_Skin,VH_M_skin,T-helper,-0.21436,0.482284,0.0430507
VH_M_Skin,VH_M_skin,T-helper,0.0780587,0.838561,-0.0109964
VH_M_Skin,VH_M_skin,T-helper,0.0825658,0.815362,-0.00417632
VH_M_Skin,VH_M_skin,T-helper,0.168726,-0.637473,-0.0274998
VH_M_Skin,VH_M_skin,T-helper,0.199907,-0.472675,-0.10409
VH_M_Skin,VH_M_skin,T-helper,0.142376,0.409455,-0.129483
VH_M_Skin,VH_M_skin,T-helper,-0.130561,-0.647573,-0.0696369
VH_M_Skin,VH_M_skin,T-helper,-0.320845,0.23584,0.0194307
VH_M_Skin,VH_M_skin,T-helper,0.0141135,-0.0702808,-0.0227572
VH_M_Skin,VH_M_skin,T-helper,-0.153868,-0.158834,0.107169
VH_M_Skin,VH_M_skin,T-helper,-0.0596764,0.174165,0.145314
VH_M_Skin,VH_M_skin,T-helper,-0.251621,-0.885177,-0.0794897
VH_M_Skin,VH_M_skin,T-helper,-0.0948038,0.313067,0.130874
VH_M_Skin,VH_M_skin,T-helper,-0.464682,0.0954308,0.0334058
VH_M_Skin,VH_M_skin,T-helper,-0.125642,0.131955,-0.0815418
VH_M_Skin,VH_M_skin,T-helper,-0.20399,-0.6226,-0.130208
VH_M_Skin,VH_M_skin,T-helper,-0.0510866,0.772591,-0.0663454
VH_M_Skin,VH_M_skin,T-helper,0.00610807,0.15213,-0.106017
VH_M_Skin,VH_M_skin,T-helper,-0.142528,-0.569155,-0.0140362
VH_M_Skin,VH_M_skin,T-helper,0.203593,-0.593516,-0.0141992
VH_M_Skin,VH_M_skin,T-helper,-0.0835848,-0.130585,0.0995918
VH_M_Skin,VH_M_skin,T-helper,0.127032,0.232824,-0.071676
VH_M_Skin,VH_M_skin,T-helper,0.135552,0.248493,0.0887328
VH_M_Skin,VH_M_skin,T-helper,-0.05667,0.196665,0.146437
VH_M_Skin,VH_M_skin,T-helper,-0.039053,0.816792,-0.0819932
VH_M_Skin,VH_M_skin,T-helper,0.0138203,0.394841,-0.131672
VH_M_Skin,VH_M_skin,T-helper,0.254338,0.492218,-0.0335816
VH_M_Skin,VH_M_skin,T-helper,0.0990802,-0.0473557,-0.129589
VH_M_Skin,VH_M_skin,T-helper,-0.301223,0.18892,0.00171296
VH_M_Skin,VH_M_skin,T-helper,-0.0567628,0.65127,-0.0873008
VH_M_Skin,VH_M_skin,T-helper,-0.184531,0.0566121,0.0114331
VH_M_Skin,VH_M_skin,T-helper,-0.210566,-0.799304,-0.0406638
VH_M_Skin,VH_M_skin,T-helper,0.195108,-0.778734,-0.140308
VH_M_Skin,VH_M_skin,T-helper,0.167377,-0.783095,-0.130595
VH_M_Skin,VH_M_skin,T-helper,-0.125386,-0.464868,-0.114061
VH_M_Skin,VH_M_skin,T-helper,0.309889,0.25739,0.02213
VH_M_Skin,VH_M_skin,T-helper,0.164704,-0.721119,-0.064757
VH_M_Skin,VH_M_skin,T-helper,0.200753,-0.637605,-0.132251
VH_M_Skin,VH_M_skin,T-helper,0.205904,-0.859987,0.0141328
VH_M_Skin,VH_M_skin,T-helper,-0.277956,0.208788,-0.00938173
VH_M_Skin,VH_M_skin,T-helper,0.268862,0.221734,-0.0310455
VH_M_Skin,VH_M_skin,T-helper,0.133402,-0.184916,-0.0948693
VH_M_Skin,VH_M_skin,T-helper,-0.0413801,0.825134,-0.0798119
VH_M_Skin,VH_M_skin,T-helper,-0.298829,0.181125,-0.0161636
VH_M_Skin,VH_M_skin,T-helper,0.160383,-0.854939,-0.0982201
VH_M_Skin,VH_M_skin,T-helper,0.0578017,0.855048,0.0690286
VH_M_Skin,VH_M_skin,T-helper,0.185064,-0.642575,-0.139007
VH_M_Skin,VH_M_skin,T-helper,-0.238463,0.430323,-0.0877214
VH_M_Skin,VH_M_skin,T-helper,-0.198408,-0.886805,-0.147122
VH_M_Skin,VH_M_skin,T-helper,0.158738,-0.518874,0.00502581
VH_M_Skin,VH_M_skin,T-helper,-0.0622344,0.0388794,0.11928
VH_M_Skin,VH_M_skin,T-helper,0.171025,0.522919,-0.129335
VH_M_Skin,VH_M_skin,T-helper,-0.24124,-0.822637,-0.0689496
VH_M_Skin,VH_M_skin,T-helper,0.22388,-0.746702,-0.0543364
VH_M_Skin,VH_M_skin,T-helper,-0.0387819,0.819009,0.104091
VH_M_Skin,VH_M_skin,T-helper,-0.167805,-0.829861,-0.0601458
VH_M_Skin,VH_M_skin,T-helper,0.0595075,0.751612,-0.0475773
VH_M_Skin,VH_M_skin,T-helper,0.0937138,-0.15513,0.0991045
VH_M_Skin,VH_M_skin,T-helper,-0.252997,-0.851463,-0.0614555
VH_M_Skin,VH_M_skin,T-helper,0.0919493,-0.514978,-0.0513709
VH_M_Skin,VH_M_skin,T-helper,0.0162998,0.767881,0.120873
VH_M_Skin,VH_M_skin,T-helper,-0.180359,-0.684433,-0.0387366
