,dataset,folder,cell_type
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,macrophage
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,CD4-positive helper T cell
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,alveolar macrophage
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,alpha-beta T cell
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,gamma-delta T cell
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,classical monocyte
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,non-classical monocyte
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,"effector memory CD4-positive, alpha-beta T cell"
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,"CD8-positive, alpha-beta memory T cell"
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,"CD16-positive, CD56-dim natural killer cell, human"
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,mucosal invariant T cell
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,"CD8-positive, alpha-beta memory T cell, CD45RO-positive"
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,plasmablast
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,mast cell
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,lymphocyte
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,animal cell
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,plasma cell
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,memory B cell
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,germinal center B cell
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,"naive thymus-derived CD8-positive, alpha-beta T cell"
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,"CD16-negative, CD56-bright natural killer cell, human"
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,conventional dendritic cell
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated"
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,group 3 innate lymphoid cell
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,T follicular helper cell
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,naive B cell
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,regulatory T cell
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,"naive thymus-derived CD4-positive, alpha-beta T cell"
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,plasmacytoid dendritic cell
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,"dendritic cell, human"
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,megakaryocyte
0,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Small_Intestine_CxG_Portal,progenitor cell
1,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Small_Intestine_CxG_Portal,fibroblast
1,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Small_Intestine_CxG_Portal,gut endothelial cell
1,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Small_Intestine_CxG_Portal,goblet cell
1,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Small_Intestine_CxG_Portal,B cell
1,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Small_Intestine_CxG_Portal,"CD8-positive, alpha-beta T cell"
1,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Small_Intestine_CxG_Portal,neutrophil
1,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Small_Intestine_CxG_Portal,intestinal crypt stem cell
1,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Small_Intestine_CxG_Portal,transit amplifying cell of small intestine
1,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Small_Intestine_CxG_Portal,intestinal tuft cell
1,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Small_Intestine_CxG_Portal,intestinal enteroendocrine cell
1,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Small_Intestine_CxG_Portal,duodenum glandular cell
1,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Small_Intestine_CxG_Portal,mast cell
1,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Small_Intestine_CxG_Portal,monocyte
1,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Small_Intestine_CxG_Portal,intestinal crypt stem cell of small intestine
2,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Uterus_CxG_Portal,epithelial cell
2,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Uterus_CxG_Portal,ciliated epithelial cell
2,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Uterus_CxG_Portal,B cell
2,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Uterus_CxG_Portal,pericyte cell
2,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Uterus_CxG_Portal,leukocyte
2,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Uterus_CxG_Portal,mature NK T cell
2,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Uterus_CxG_Portal,endothelial cell of lymphatic vessel
2,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Uterus_CxG_Portal,T cell
2,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Uterus_CxG_Portal,endothelial cell
2,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Uterus_CxG_Portal,macrophage
2,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Uterus_CxG_Portal,epithelial cell of uterus
2,53d208b0-2cfd-4366-9866-c3c6114081bc.csv,Uterus_CxG_Portal,myometrial cell
6,GTEX-1HSMQ-5007.csv,Skin_GTEx_Portal,Adipocyte
7,GTEX-15EOM-5003.csv,Skin_GTEx_Portal,Immune (myeloid)
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,macrophage
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,CD4-positive helper T cell
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,lymphocyte
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,animal cell
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,alveolar macrophage
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,erythroid lineage cell
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,plasmacytoid dendritic cell
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,plasma cell
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,memory B cell
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,alpha-beta T cell
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,gamma-delta T cell
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,germinal center B cell
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,classical monocyte
8,1b9d8702-5af8-4142-85ed-020eb06ec4f6.csv,Thoracic_Lymph_Node_CxG_Portal,"naive thymus-derived CD8-positive, alpha-beta T cell"
